code,name,shortName,uid
J01AA,Tetracyclines,Tetracyclines,RQPagZ3Q090
J01BA,Amphenicols,Amphenicols,OSPWgCvNfsO
J01CA,Penicillins with extended spectrum,Extended spectrum Penicillins ,aFHs5iApBmE
J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,YaPyL7fWzvA
J01CF,Beta-lactamase resistant penicillins,Beta-lactamase resistant penicillins,UnE76zcInvc
J01CG,Beta-lactamase inhibitors,Beta-lactamase inhibitors,A74VyMFko4u
J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors",Penicillins + beta-lactamase inhibitors,mOmiRCAgvue
J01DB,First-generation cephalosporins,1st gen. cephalosporins,Ft6usbVLQxE
J01DC,Second-generation cephalosporins,2nd gen. cephalosporins,nh6NKfB4DeT
J01DD,Third-generation cephalosporins,3rd gen. cephalosporins,GDpqfO857hI
J01DE,Fourth-generation cephalosporins,4th gen. cephalosporins,NoZ4Hj3EEs2
J01DF,Monobactams,Monobactams,GfT6BUjHkv8
J01DH,Carbapenems,Carbapenems,IOGZTRxWXsr
J01DI,Other cephalosporins and penems,Other cephalosporins and penems,MUSUJKa9npP
J01EA,Trimethoprim and derivatives,Trimethoprim and derivatives,qfk4pO7gJ5M
J01EB,Short-acting sulfonamides,Short-acting sulfonamides,J4Ce5Tap4E5
J01EC,Intermediate-acting sulfonamides,Intermediate-acting sulfonamides,lWK62pL18s0
J01ED,Long-acting sulfonamides,Long-acting sulfonamides,kJV1THN7Qou
J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives",Combinations of sulfonamides and trimethoprim,iDNrR6N4GpZ
J01FA,Macrolides,Macrolides,dJ30FD4K1Xw
J01FF,Lincosamides,Lincosamides,qHfynvPEyUS
J01FG,Streptogramins,Streptogramins,uD7DCbZfUzs
J01GA,Streptomycins,Streptomycins,gYZHNgL1LMn
J01GB,Other aminoglycosides,Aminoglycosides,GfxNqaPezMZ
J01MA,Fluoroquinolones,Fluoroquinolones,TdX0hsR4MSp
J01MB,Other quinolones,Other quinolones,mEj1Bsgn7hc
J01XA,Glycopeptide antibacterials,Glycopeptides,dbaH76JauTC
J01XB,Polymyxins,Polymyxins,ga2InMWlLxn
J01XC,Steroid antibacterials,Steroid antibacterials,Wvhsh2hNAmm
J01XD,Imidazole derivatives,Imidazoles,iFdzM9V7upR
J01XE,Nitrofuran derivatives,Nitrofuran derivatives,ftSPbuQGokT
J01XX,Other antibacterials,Other,zARSMdyFU6C
J04AB,Antimycobacterial Antibiotics,Antimycobacterial Antibiotics,iV82cliCXMK
P01AB,Antiprotozoal Nitroimidazole derivatives,Antiprotozoal Nitroimidazole derivatives,x7cA9Ie15Nr
