id,property,needs_translation,default,translated
J01AA01,NAME,t,Demeclocycline,Demeclocyclin
J01FA11,NAME,f,Miocamycin,
J01FA12,NAME,f,Rokitamycin,
J01FA13,NAME,f,Dirithromycin,
J01FA14,NAME,f,Flurithromycin,
J01FA15,NAME,f,Telithromycin,
J01FA16,NAME,f,Solithromycin,
J01FF01,NAME,f,Clindamycin,
J01FF02,NAME,f,Lincomycin,
J01FG01,NAME,f,Pristinamycin,
J01FG02,NAME,f,Quinupristin/dalfopristin,
J01GA01,NAME,f,Streptomycin,
J01GA02,NAME,f,Streptoduocin,
J01GB01,NAME,f,Tobramycin,
J01GB03,NAME,f,Gentamicin,
J01GB04,NAME,f,Kanamycin,
J01GB05,NAME,f,Neomycin,
J01GB06,NAME,f,Amikacin,
J01GB07,NAME,f,Netilmicin,
J01GB08,NAME,f,Sisomicin,
J01GB09,NAME,f,Dibekacin,
J01GB10,NAME,f,Ribostamycin,
J01GB11,NAME,f,Isepamicin,
J01GB12,NAME,f,Arbekacin,
J01GB13,NAME,f,Bekanamycin,
J01GB14,NAME,f,Plazomicin,
J01MA01,NAME,f,Ofloxacin,
J01MA02,NAME,f,Ciprofloxacin,
J01MA03,NAME,f,Pefloxacin,
J01MA04,NAME,f,Enoxacin,
J01FA10,NAME,f,Azithromycin,
J01MA05,NAME,f,Temafloxacin,
J01FA09,NAME,f,Clarithromycin,
J01FA07,NAME,f,Josamycin,
J01EB04,NAME,t,Sulfapyridine,Sulfapyridin
J01EB05,NAME,t,Sulfafurazole,Sulfafurazol
J01EB06,NAME,t,Sulfanilamide,Sulfanilamid
J01EB07,NAME,t,Sulfathiazole,Sulfathiazol
J01EB08,NAME,f,Sulfathiourea,
J01EC01,NAME,t,Sulfamethoxazole,Sulfamethoxazol
J01EC02,NAME,t,Sulfadiazine,Sulfadiazin
J01EC03,NAME,t,Sulfamoxole,Sulfamoxol
J01ED01,NAME,t,Sulfadimethoxine,Sulfadimethoxin
J01ED02,NAME,t,Sulfalene,Sulfalen
J01ED03,NAME,t,Sulfametomidine,Sulfametomidin
J01ED04,NAME,t,Sulfametoxydiazine,Sulfametoxydiazin
J01ED05,NAME,t,Sulfamethoxypyridazine,Sulfamethoxypyridazin
J01ED06,NAME,f,Sulfaperin,
J01ED07,NAME,t,Sulfamerazine,Sulfamerazin
J01ED08,NAME,t,Sulfaphenazole,Sulfaphenazol
J01ED09,NAME,t,Sulfamazone,Sulfamazon
J01EE01,NAME,t,Sulfamethoxazole and trimethoprim,Sulfamethoxazol und Trimethoprim
J01EE02,NAME,t,Sulfadiazine and trimethoprim,Sulfadiazin und Trimethoprim
J01EE03,NAME,t,Sulfametrole and trimethoprim,Sulfametrol und Trimethoprim
J01EE04,NAME,t,Sulfamoxole and trimethoprim,Sulfamoxol und Trimethoprim
J01EE05,NAME,t,Sulfadimidine and trimethoprim,Sulfadimidin und Trimethoprim
J01EE06,NAME,t,Sulfadiazine and tetroxoprim,Sulfadiazin und Tetroxoprim
J01EE07,NAME,t,Sulfamerazine and trimethoprim,Sulfamerazin und Trimethoprim
J01FA01,NAME,f,Erythromycin,
J01FA02,NAME,f,Spiramycin,
J01FA03,NAME,f,Midecamycin,
J01FA05,NAME,f,Oleandomycin,
J01FA06,NAME,f,Roxithromycin,
J01FA08,NAME,f,Troleandomycin,
J01EB03,NAME,t,Sulfadimidine,Sulfadimidin
J01MA06,NAME,f,Norfloxacin,
J01MA08,NAME,f,Fleroxacin,
J01RA12,NAME,t,Ciprofloxacin and ornidazole,Ciprofloxacin und Ornidazol
J01RA13,NAME,t,Norfloxacin and tinidazole,Norfloxacin und Tinidazol
J01RA14,NAME,t,Norfloxacin and metronidazole,Norfloxacin und Metronidazol
J01RA15,NAME,t,Cefixime and ornidazole,Cefixim und Ornidazol
J01RA16,NAME,t,Cefixime and azithromycin,Cefixim und Azithromycin
J01XA01,NAME,f,Vancomycin,
J01XA02,NAME,f,Teicoplanin,
J01XA03,NAME,f,Telavancin,
J01XA04,NAME,f,Dalbavancin,
J01XA05,NAME,f,Oritavancin,
J01XB01,NAME,f,Colistin,
J01XB02,NAME,f,Polymyxin B,
J01XC01,NAME,t,Fusidic acid,Fusidinsäure
J01XD01,NAME,t,Metronidazole,Metronidazol
