id,property,needs_translation,default,translated
J01AA01,NAME,t,Demeclocycline,Demeclociclina
J01FA11,NAME,t,Miocamycin,Mioamicina
J01FA12,NAME,t,Rokitamycin,Rokitamicina
J01FA13,NAME,t,Dirithromycin,Diritromicina
J01FA14,NAME,t,Flurithromycin,Fluritromicina
J01FA15,NAME,t,Telithromycin,Telitromicina
J01FA16,NAME,t,Solithromycin,Solitromicina
J01FF01,NAME,t,Clindamycin,Clindamicina
J01FF02,NAME,t,Lincomycin,Lincomicina
J01FG01,NAME,t,Pristinamycin,Pristinamicina
J01FG02,NAME,t,Quinupristin/dalfopristin,Quinupristina/dalfopristina
J01GA01,NAME,t,Streptomycin,Estreptomicina
J01GA02,NAME,t,Streptoduocin,Estreptoduocina
J01GB01,NAME,t,Tobramycin,Tobramicina
J01GB03,NAME,t,Gentamicin,Gentamicina
J01GB04,NAME,t,Kanamycin,Kanamicina
J01GB05,NAME,t,Neomycin,Neomicina
J01GB06,NAME,t,Amikacin,Amikacina
J01GB07,NAME,t,Netilmicin,Netilmicina
J01GB08,NAME,t,Sisomicin,Sisomicina
J01GB09,NAME,t,Dibekacin,Dibekacina
J01GB10,NAME,t,Ribostamycin,Ribostamicina
J01GB11,NAME,t,Isepamicin,Isepamicina
J01GB12,NAME,t,Arbekacin,Arbekacina
J01GB13,NAME,t,Bekanamycin,Bekanamicina
J01GB14,NAME,t,Plazomicin,Plazomicina
J01MA01,NAME,t,Ofloxacin,Ofloxacina
J01MA02,NAME,t,Ciprofloxacin,Ciprofloxacino
J01MA03,NAME,t,Pefloxacin,Pefloxacina
J01MA04,NAME,t,Enoxacin,Enoxacina
J01FA10,NAME,t,Azithromycin,Azitromicina
J01MA05,NAME,t,Temafloxacin,Temafloxacina
J01FA09,NAME,t,Clarithromycin,Claritromicina
J01FA07,NAME,t,Josamycin,Josamicina
J01EB04,NAME,t,Sulfapyridine,Sulfapiridina
J01EB05,NAME,t,Sulfafurazole,Sulfafurazol
J01EB06,NAME,t,Sulfanilamide,Sulfanilamida
J01EB07,NAME,t,Sulfathiazole,Sulfatiazol
J01EB08,NAME,t,Sulfathiourea,Sulfatiourea
J01EC01,NAME,t,Sulfamethoxazole,Sulfametoxazol
J01EC02,NAME,t,Sulfadiazine,Sulfadiazina
J01EC03,NAME,t,Sulfamoxole,Sulfamoxol
J01ED01,NAME,t,Sulfadimethoxine,Sulfadimetoxina
J01ED02,NAME,t,Sulfalene,Sulfaleno
J01ED03,NAME,t,Sulfametomidine,Sulfametomidina
J01ED04,NAME,t,Sulfametoxydiazine,Sulfametoxidiazina
J01ED05,NAME,t,Sulfamethoxypyridazine,Sulfametoxipiridazina
J01ED06,NAME,t,Sulfaperin,Sulfaperina
J01ED07,NAME,t,Sulfamerazine,Sulfamerazina
J01ED08,NAME,t,Sulfaphenazole,Sulfafenazol
J01ED09,NAME,t,Sulfamazone,Sulfamazona
J01EE01,NAME,t,Sulfamethoxazole and trimethoprim,Sulfametoxazol y trimetoprima
J01EE02,NAME,t,Sulfadiazine and trimethoprim,Sulfadiazina y trimetoprima
J01EE03,NAME,t,Sulfametrole and trimethoprim,Sulfametrol y trimetoprima
J01EE04,NAME,t,Sulfamoxole and trimethoprim,Sulfamoxol y trimetoprima
J01EE05,NAME,t,Sulfadimidine and trimethoprim,Sulfadimidina y trimetoprima
J01EE06,NAME,t,Sulfadiazine and tetroxoprim,Sulfadiazina y tetroxoprima
J01EE07,NAME,t,Sulfamerazine and trimethoprim,Sulfamerazina y trimetoprima
J01FA01,NAME,t,Erythromycin,Eritromicina
J01FA02,NAME,t,Spiramycin,Espiramicina
J01FA03,NAME,t,Midecamycin,Midecamicina
J01FA05,NAME,t,Oleandomycin,Oleandomicina
J01FA06,NAME,t,Roxithromycin,Roxitromicina
J01FA08,NAME,t,Troleandomycin,Troleandomicina
J01EB03,NAME,t,Sulfadimidine,Sulfadimidina
J01MA06,NAME,t,Norfloxacin,Norfloxacina
J01MA08,NAME,t,Fleroxacin,Fleroxacina
J01RA12,NAME,t,Ciprofloxacin and ornidazole,Ciprofloxacino y ornidazol
J01RA13,NAME,t,Norfloxacin and tinidazole,Norfloxacino y tinidazol
J01RA14,NAME,t,Norfloxacin and metronidazole,Norfloxacino y metronidazol
J01RA15,NAME,t,Cefixime and ornidazole,Cefixima y ornidazol
J01RA16,NAME,t,Cefixime and azithromycin,Cefixima y azitromicina
J01XA01,NAME,t,Vancomycin,Vancomicina
J01XA02,NAME,t,Teicoplanin,Teicoplanina
J01XA03,NAME,t,Telavancin,Telavancina
J01XA04,NAME,t,Dalbavancin,Dalbavancina
J01XA05,NAME,t,Oritavancin,Oritavancina
J01XB01,NAME,t,Colistin,Colistina
J01XB02,NAME,t,Polymyxin B,Polimixina B
J01XC01,NAME,t,Fusidic acid,Ácido fusídico
J01XD01,NAME,t,Metronidazole,Metronidazol
J01XD02,NAME,t,Tinidazole,Tinidazol
J01XD03,NAME,t,Ornidazole,Ornidazol
J01XE01,NAME,t,Nitrofurantoin,Nitrofurantoína
J01XE02,NAME,f,Nifurtoinol,
J01XE03,NAME,t,Furazidin,Furazidina
J01XX01_O,NAME,t,Fosfomycin (oral),Fosfomicina (oral)
J01XX01_P,NAME,t,Fosfomycin (parenteral),Fosfomicina (parenteral)
J01XX02,NAME,f,Xibornol,
J01XX03,NAME,f,Clofoctol,
J01XX04,NAME,t,Spectinomycin,Espectinomicina
J01XX05,NAME,t,Methenamine,Metenamina
J01XX06,NAME,t,Mandelic acid,Ácido mandélico
J01XX07,NAME,t,Nitroxoline,Nitroxolina
J01XX08,NAME,f,Linezolid,
J01XX09,NAME,t,Daptomycin,Daptomicina
J01XX10,NAME,t,Bacitracin,Bacitracina
J01RA11,NAME,t,Ciprofloxacin and tinidazole,Ciprofloxacino y tinidazol
J01MA07,NAME,t,Lomefloxacin,Lomefloxacina
J01RA10,NAME,t,Ciprofloxacin and metronidazole,Ciprofloxacino y metronidazol
J01RA08,NAME,t,Tetracycline and oleandomycin,Tetraciclina y oleandomicina
J01MA09,NAME,t,Sparfloxacin,Esparfloxacino
J01MA10,NAME,t,Rufloxacin,Rufloxacino
J01MA11,NAME,t,Grepafloxacin,Grepafloxacino
J01MA12,NAME,t,Levofloxacin,Levofloxacino
J01MA13,NAME,t,Trovafloxacin,Trovafloxacino
J01MA14,NAME,t,Moxifloxacin,Moxifloxacino
J01MA15,NAME,t,Gemifloxacin,Gemifloxacino
J01MA16,NAME,t,Gatifloxacin,Gatifloxacino
J01MA17,NAME,t,Prulifloxacin,Prulifloxacino
J01MA18,NAME,t,Pazufloxacin,Pazufloxacino
J01MA19,NAME,t,Garenoxacin,Garenoxacino
J01MA21,NAME,t,Sitafloxacin,Sitafloxacino
J01MA22,NAME,t,Tosufloxacin,Tosufloxacino
