id,property,needs_translation,default,translated
3gcr,VALUE,f,3GCR,
assumed_pathogenicity,VALUE,t,Assumed Pathogenicity,Patogenicidad supuesta
bacterial_genus,VALUE,t,Bacterial genus,Género bacteriano
bacterial_group,VALUE,t,Group of bacterial species,Grupo bacteriano
bacterial_serotype,VALUE,t,Bacterial serotype,Serotipo bacteriano
bacterial_species,VALUE,t,Bacterial species,Especie bacteriana
bacterial_species_complex,VALUE,t,Bacterial species complex,Complejo de especies bacterianas
bacterial_subspecies,VALUE,t,Bacterial subspecies,Subespecie bacteriana
carbapenems,VALUE,t,Carbapenems,Carbapenemas
colistin,VALUE,t,Colistin,Colistina
common_commensal,VALUE,t,Common commensal,Comensal común
fungal_genus,VALUE,t,Fungal genus,Género fúngico
fungal_species,VALUE,t,Fungal species,Especie fúngica
fungal_species_complex,VALUE,t,Fungal species complex,Complejo de especies de hongos
fungal_variety,VALUE,t,Fungal variety,Variedad de hongos
mrsa,VALUE,t,MRSA,SARM
name,VALUE,t,Name,Nombre
recognised_pathogen,VALUE,t,Recognised pathogen,Patógeno reconocido
recorded_resistances,VALUE,t,Recorded Resistances,Resistencias registradas
synonym_for,VALUE,t,synonym for,sinónimo de
type,VALUE,t,Type,Tipo
unknown,VALUE,t,Unknown,Desconocido
viral_clade,VALUE,t,Viral clade,Clado vírico
viral_family,VALUE,t,Viral family,Familia de virus
viral_genus,VALUE,t,Viral genus,Género de virus
viral_group,VALUE,t,Viral group,Grupo vírico
viral_serotype,VALUE,t,Viral serotype,Serotipo vírico
viral_species,VALUE,t,Viral species,Tipo de virus
vre,VALUE,f,VRE,
