id,property,needs_translation,default,translated
1230,SYNONYM,f,Abiotrophia adiacens,
1195,SYNONYM,f,Abiotrophia elegans,
1482,SYNONYM,f,Achromobacter xylosoxidans xylosoxidans,
2179,SYNONYM,f,Acladium castellanii,
2699,SYNONYM,f,Acremonium alabamensis,
96,SYNONYM,f,Acremonium kiliense,
1064,SYNONYM,f,Acremonium recifei,
2154,SYNONYM,f,Acremonium strictum,
114,SYNONYM,f,Acrotheca aquaspersa,
1049,SYNONYM,f,Actinobacillus actinomycetemcomitans,
2207,SYNONYM,f,Actinobaculum schaalii,
839,SYNONYM,f,Actinobaculum urinale,
688,SYNONYM,f,Actinomyces bernardiae,
2162,SYNONYM,f,Actinomyces cardiffensis,
1676,SYNONYM,f,Actinomyces europaeus,
2229,SYNONYM,f,Actinomyces funkei,
988,SYNONYM,f,Actinomyces georgiae,
1214,SYNONYM,f,Actinomyces hongkongensis,
2211,SYNONYM,f,Actinomyces meyeri,
759,SYNONYM,f,Actinomyces nasicola,
2055,SYNONYM,f,Actinomyces neuii,
2466,SYNONYM,f,Actinomyces odontolyticus,
119,SYNONYM,f,Actinomyces radingae,
1558,SYNONYM,f,Actinomyces turicensis,
2379,SYNONYM,f,Aeromonas punctata,
652,SYNONYM,f,Aeromonas trota,
2274,SYNONYM,f,Alcaligenes piechaudii,
1584,SYNONYM,f,Alcaligenes xylosoxidans,
1718,SYNONYM,f,Aleurisma apiospermum,
683,SYNONYM,f,Allescheria boydii,
1659,SYNONYM,f,Anaerorhabdus furcosus,
2239,SYNONYM,f,Arcanobacterium bernardiae,
112,SYNONYM,f,Arcanobacterium pyogenes,
1280,SYNONYM,f,Arthrobacter albus,
961,SYNONYM,f,Arthrobacter arilaitensis,
1573,SYNONYM,f,Arthrobacter aurescens,
894,SYNONYM,f,Arthrobacter bergerei,
304,SYNONYM,f,Arthrobacter chlorophenolicus,
877,SYNONYM,f,Arthrobacter creatinolyticus,
1916,SYNONYM,f,Arthrobacter cumminsii,
862,SYNONYM,f,Arthrobacter gangotriensis,
199,SYNONYM,f,Arthrobacter histidinolovorans,
2258,SYNONYM,f,Arthrobacter ilicis,
133,SYNONYM,f,Arthrobacter kerguelensis,
211,SYNONYM,f,Arthrobacter mysorens,
1174,SYNONYM,f,Arthrobacter nasiphocae,
2287,SYNONYM,f,Arthrobacter nicotianae,
1344,SYNONYM,f,Arthrobacter nicotinovorans,
434,SYNONYM,f,Arthrobacter nitroguajacolicus,
1058,SYNONYM,f,Arthrobacter oxydans,
1952,SYNONYM,f,Arthrobacter polychromogenes,
1728,SYNONYM,f,Arthrobacter protophormiae,
980,SYNONYM,f,Arthrobacter psychrophenolicus,
1733,SYNONYM,f,Arthrobacter scleromae,
183,SYNONYM,f,Arthrobacter siderocapsulatus,
363,SYNONYM,f,Arthrobacter sulfonivorans,
1136,SYNONYM,f,Arthrobacter sulfureus,
563,SYNONYM,f,Arthrobacter uratoxydans,
1852,SYNONYM,f,Arthrobacter ureafaciens,
123,SYNONYM,f,Arthrobacter variabilis,
1386,SYNONYM,f,Arthrobacter viscosus,
2355,SYNONYM,f,Aspergillus oryzae,
1812,SYNONYM,f,Atopobium parvulum,
1664,SYNONYM,f,Atopobium rimae,
479,SYNONYM,f,Atopobium vaginae,
1951,SYNONYM,f,Aurantimonas altamirensis,
2554,SYNONYM,f,Aureobacterium liquefaciens,
1943,SYNONYM,f,Azymoprocandida lipolytica,
2614,SYNONYM,t,B19 virus,B19-Virus
2470,SYNONYM,t,BK polyomavirus,BK-Polyomavirus
278,SYNONYM,f,Bacillus agaradhaerens,
320,SYNONYM,f,Bacillus agri,
722,SYNONYM,f,Bacillus alcalophilus,
1621,SYNONYM,f,Bacillus algicola,
671,SYNONYM,f,Bacillus alvei,
1035,SYNONYM,f,Bacillus aneurinolyticus,
2329,SYNONYM,f,Bacillus aquimaris,
218,SYNONYM,f,Bacillus arseniciselenatis,
634,SYNONYM,f,Bacillus asahii,
1000,SYNONYM,f,Bacillus azotoformans,
603,SYNONYM,f,Bacillus barbaricus,
267,SYNONYM,f,Bacillus bataviensis,
2324,SYNONYM,f,Bacillus boroniphilus,
48,SYNONYM,f,Bacillus brevis,
482,SYNONYM,f,Bacillus butanolivorans,
804,SYNONYM,f,Bacillus centrosporus,
2034,SYNONYM,f,Bacillus circulans,
2500,SYNONYM,f,Bacillus clarkii,
789,SYNONYM,f,Bacillus clausii,
2228,SYNONYM,f,Bacillus coagulans,
845,SYNONYM,f,Bacillus cohnii,
623,SYNONYM,f,Bacillus decolorationis,
2543,SYNONYM,f,Bacillus dipsosauri,
2250,SYNONYM,f,Bacillus drentensis,
140,SYNONYM,f,Bacillus edaphicus,
1540,SYNONYM,f,Bacillus ehimensis,
273,SYNONYM,f,Bacillus endophyticus,
969,SYNONYM,f,Bacillus farraginis,
39,SYNONYM,f,Bacillus fastidiosus,
475,SYNONYM,f,Bacillus firmus,
1550,SYNONYM,f,Bacillus flexus,
971,SYNONYM,f,Bacillus fordii,
1939,SYNONYM,f,Bacillus fortis,
1735,SYNONYM,f,Bacillus fumarioli,
1407,SYNONYM,f,Bacillus funiculus,
1321,SYNONYM,f,Bacillus galactophilus,
866,SYNONYM,f,Bacillus galactosidilyticus,
1491,SYNONYM,f,Bacillus gelatini,
1372,SYNONYM,f,Bacillus gibsonii,
2377,SYNONYM,f,Bacillus ginsengi,
448,SYNONYM,f,Bacillus halmapalus,
2011,SYNONYM,f,Bacillus halodenitrificans,
2463,SYNONYM,f,Bacillus halodurans,
2064,SYNONYM,f,Bacillus horikoshii,
2499,SYNONYM,f,Bacillus humi,
2199,SYNONYM,f,Bacillus hwajinpoensis,
240,SYNONYM,f,Bacillus idriensis,
612,SYNONYM,f,Bacillus indicus,
1117,SYNONYM,f,Bacillus jeotgali,
2121,SYNONYM,f,Bacillus kaustophilus,
979,SYNONYM,f,Bacillus korlensis,
111,SYNONYM,f,Bacillus krulwichiae,
792,SYNONYM,f,Bacillus laevolacticus,
1815,SYNONYM,f,Bacillus larvae,
