id,code,name,shortName,description,optionSet,options,sharing
RQPagZ3Q090,J01AA,Tetracyclines,Tetracyclines,This group comprises tetracycline antibacterials inhibiting the bacterial protein synthesis through binding to the 30-S part of ribosomes.,JE7ECBWKhWD,BDi3tKehdr0 FafuLZ0TCQB FasUMdSiwbm GSF5AOKntDx IR2wfKl0Boj Jpnmz29PLHl KodArjMN409 MSboASD3vmD SmOflKneU3H bX4G1ZjKmYp jd7sTyqUWwX oSTPFlZ4w0J q0jwM8EzgZT usjx0e7XFNy wsB6jTaegcl,PUBLIC_RW
OSPWgCvNfsO,J01BA,Amphenicols,Amphenicols,This group comprises amphenicol antibacterials inhibiting the bacterial protein synthesis.,JE7ECBWKhWD,B9hdibOQDMU RLnkp7HJdc1,PUBLIC_RW
aFHs5iApBmE,J01CA,Penicillins with extended spectrum,"Extended spectrum Penicillins ","This group comprises penicillins with enhanced activity against gram negative rods, e.g. ampicillin and similar antibiotics.",JE7ECBWKhWD,CtBbxv0XnUZ Gk2wlpDg4vI IcqQoK26aLs IimPvMOoW8u KA1ufc05vH9 MeVOUbW5Mqs NJTFrA0fHkp OYea0BPAHFy YnPb2HjBEZ7 ckSV9Hz3jDI eTSN2Upd8Zl icGxyvPIRfn lqejf7R4WxF oXZe07hlqu1 pwVkxBvlX74 qF76v7pYcQB tYDCBgcmsx0 vOzEUfAkw3l vajnxdbL5ul,PUBLIC_RW
YaPyL7fWzvA,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,"This group comprises penicillin beta-lactam antibacterials, inhibiting the bacterial cell wall synthesis.",JE7ECBWKhWD,JoL9vS4WKfP KMhv2lLz3wD WaJOtCmhvk0 clW09reSbmE drqW6KTjryx eREQMc9ePhg tPyuLKX3Nov wTJyIrSaEM5 wrWTZF6lYe7,PUBLIC_RW
UnE76zcInvc,J01CF,Beta-lactamase resistant penicillins,Beta-lactamase resistant penicillins,,JE7ECBWKhWD,Fm1fLc2ogvz HdaBZvOwR8s MUxIW4a5bkS XfugL2h0YI1 a5RbJTV6mSn whzK5g3TolJ,PUBLIC_RW
A74VyMFko4u,J01CG,Beta-lactamase inhibitors,Beta-lactamase inhibitors,,JE7ECBWKhWD,J5XsgIP3pnl tc2snbal4yr,PUBLIC_RW
mOmiRCAgvue,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors",Penicillins + beta-lactamase inhibitors,This group comprises combinations of penicillins and/or beta-lactamase inhibitors. Combinations containing one penicillin and enzyme inhibitor are classified at different 5th levels according to the penicillin.,JE7ECBWKhWD,CJsYFexRPqw XR9MAhsrdFp g9jC154mCbw rOVICwcsUyu rjz7fsAn9Yt,PUBLIC_RW
Ft6usbVLQxE,J01DB,First-generation cephalosporins,1st gen. cephalosporins,The first generation compounds have relatively narrow spectrum of activity focused primarily on the gram-positive cocci.,JE7ECBWKhWD,DBgoGEWjXnI Dd9eqGYjeni Ht0Obgapzyx MWbExzBDaFV NtejSLubTdn Szq5nZXDtM8 UfYO1jVG7HX aXPmSh0LTZ6 euWP5HTM6XY i8GqTUClpjv teVqbeyyqoR wUoB7PgZ0Ah,PUBLIC_RW
nh6NKfB4DeT,J01DC,Second-generation cephalosporins,2nd gen. cephalosporins,The second generation cephalosporins have a variable activity against gram-positive cocci but have increased activity against gram-negative bacteria. The cephamycin group is included in the second-generation cephalosporins.,JE7ECBWKhWD,DovgQYwf2f4 EZQvSoIKL68 MAwF1hnyQP2 Yg9u1jV3Wai bWmTkHGrJPd beOuqmCjB15 hkf68AHy2Eq ksSjFBGNQmz lfgHPqrk5KV lzHCysFK3Lv m9IgwilTzoL sTUyZwj2OKH u1yVNF7beqG vCOj6NzZXhy,PUBLIC_RW
GDpqfO857hI,J01DD,Third-generation cephalosporins,3rd gen. cephalosporins,"The third generation cephalosporins have a marked activity against gram-negative bacteria. Limited activity against gram-positive cocci, particularly methicillin susceptible S. aureus, might occur.",JE7ECBWKhWD,ABdYymTcUaE BDsKg9aINcZ F89ZMLxRreC L4f65JsDPAx MYcrek1UGqn UweyroiVNdS Vbg2MdpiAvF aWdrBDfMLuj bzo2vnE3q4X dnKIiv9g0en e4u6T3Hm3k1 eR6CkG4nLmE f5GOCP6N8pR f7VDEGxaXMh h3bHcojuSOD hBpbRGu4iCU lOIEBsRa9Yq wl0Ooc8P253 xHRYQkcVqpm,PUBLIC_RW
NoZ4Hj3EEs2,J01DE,Fourth-generation cephalosporins,4th gen. cephalosporins,"The fourth generation cephalosporins have activity against gram-positive cocci and a broad array of gram-negative bacteria, including P. aeruginosa and many of the Enterobacteriaceae with inducible chromosomal b-lactamases.",JE7ECBWKhWD,B25ZmELO4FH WqGvmmEcN6W okKJpz8YwNx,PUBLIC_RW
