code,property,needs_translation,default,translated
NEOIPC,NAME,t,NeoIPC,
NEOIPC,SHORT_NAME,t,NeoIPC,
AT,NAME,t,Austria,
AT,SHORT_NAME,t,Austria,
CH,NAME,t,Switzerland,
CH,SHORT_NAME,t,Switzerland,
DE,NAME,t,Germany,
DE,SHORT_NAME,t,Germany,
EE,NAME,t,Estonia,
EE,SHORT_NAME,t,Estonia,
ES,NAME,t,Spain,
ES,SHORT_NAME,t,Spain,
GB,NAME,t,United Kingdom,
GB,SHORT_NAME,t,UK,
GR,NAME,t,Greece,
GR,SHORT_NAME,t,Greece,
IT,NAME,t,Italy,
IT,SHORT_NAME,t,Italy,
NP,NAME,t,Nepal,
NP,SHORT_NAME,t,Nepal,
TEST_UNITS,NAME,t,Test Units,
TEST_UNITS,SHORT_NAME,t,Test Units,
UA,NAME,t,Ukraine,
UA,SHORT_NAME,t,Ukraine,
ZA,NAME,t,South Africa,
ZA,SHORT_NAME,t,South Africa,
AL,NAME,t,Albania,
AL,SHORT_NAME,t,Albania,
BE,NAME,t,Belgium,
BE,SHORT_NAME,t,Belgium,
BG,NAME,t,Bulgaria,
BG,SHORT_NAME,t,Bulgaria,
CY,NAME,t,Cyprus,
CY,SHORT_NAME,t,Cyprus,
CZ,NAME,t,Czechia,
CZ,SHORT_NAME,t,Czechia,
DK,NAME,t,Denmark,
DK,SHORT_NAME,t,Denmark,
FI,NAME,t,Finland,
FI,SHORT_NAME,t,Finland,
FR,NAME,t,France,
FR,SHORT_NAME,t,France,
HR,NAME,t,Croatia,
HR,SHORT_NAME,t,Croatia,
HU,NAME,t,Hungary,
HU,SHORT_NAME,t,Hungary,
IE,NAME,t,Ireland,
IE,SHORT_NAME,t,Ireland,
IS,NAME,t,Iceland,
IS,SHORT_NAME,t,Iceland,
LI,NAME,t,Liechtenstein,
LI,SHORT_NAME,t,Liechtenstein,
LT,NAME,t,Lithuania,
LT,SHORT_NAME,t,Lithuania,
LU,NAME,t,Luxembourg,
LU,SHORT_NAME,t,Luxembourg,
LV,NAME,t,Latvia,
LV,SHORT_NAME,t,Latvia,
ME,NAME,t,Montenegro,
ME,SHORT_NAME,t,Montenegro,
MK,NAME,t,North Macedonia,
MK,SHORT_NAME,t,North Macedonia,
MT,NAME,t,Malta,
MT,SHORT_NAME,t,Malta,
NL,NAME,t,Netherlands,
NL,SHORT_NAME,t,Netherlands,
NO,NAME,t,Norway,
NO,SHORT_NAME,t,Norway,
PL,NAME,t,Poland,
PL,SHORT_NAME,t,Poland,
PT,NAME,t,Portugal,
PT,SHORT_NAME,t,Portugal,
RO,NAME,t,Romania,
RO,SHORT_NAME,t,Romania,
RS,NAME,t,Serbia,
RS,SHORT_NAME,t,Serbia,
SE,NAME,t,Sweden,
SE,SHORT_NAME,t,Sweden,
SI,NAME,t,Slovenia,
SI,SHORT_NAME,t,Slovenia,
SK,NAME,t,Slovakia,
SK,SHORT_NAME,t,Slovakia,
TR,NAME,t,Türkiye,
TR,SHORT_NAME,t,Türkiye,
