id,property,needs_translation,default,translated
NEOIPC,NAME,u,The NeoIPC Project,
NEOIPC,SHORT_NAME,u,NeoIPC,
AL,NAME,u,Shqipëria,
AL,SHORT_NAME,u,Shqipëria,
AT,NAME,u,Österreich,
AT,SHORT_NAME,u,Österreich,
BE,NAME,u,Belgique/België,
BE,SHORT_NAME,u,Belgique/België,
BG,NAME,u,България [Bulgaria],
BG,SHORT_NAME,u,България,
CH,NAME,u,Schweiz/Suisse/Svizzera,
CH,SHORT_NAME,u,Schweiz/Suisse/Svizzera,
CY,NAME,u,Κύπρος [Kýpros],
CY,SHORT_NAME,u,Κύπρος,
CZ,NAME,u,Česko,
CZ,SHORT_NAME,u,Česko,
DE,NAME,u,Deutschland,
DE,SHORT_NAME,u,Deutschland,
DK,NAME,u,Danmark,
DK,SHORT_NAME,u,Danmark,
EE,NAME,u,Eesti,
EE,SHORT_NAME,u,Eesti,
EL,NAME,u,Ελλάδα [Elláda],
EL,SHORT_NAME,u,Ελλάδα,
ES,NAME,u,España,
ES,SHORT_NAME,u,España,
FI,NAME,u,Suomi/Finland,
FI,SHORT_NAME,u,Suomi/Finland,
FR,NAME,u,France,
FR,SHORT_NAME,u,France,
HR,NAME,u,Hrvatska,
HR,SHORT_NAME,u,Hrvatska,
HU,NAME,u,Magyarország,
HU,SHORT_NAME,u,Magyarország,
IE,NAME,u,Éire/Ireland,
IE,SHORT_NAME,u,Éire/Ireland,
IS,NAME,u,Ísland,
IS,SHORT_NAME,u,Ísland,
IT,NAME,u,Italia,
IT,SHORT_NAME,u,Italia,
LI,NAME,u,Liechtenstein,
LI,SHORT_NAME,u,Liechtenstein,
LT,NAME,u,Lietuva,
LT,SHORT_NAME,u,Lietuva,
LU,NAME,u,Luxembourg,
LU,SHORT_NAME,u,Luxembourg,
LV,NAME,u,Latvija,
LV,SHORT_NAME,u,Latvija,
ME,NAME,u,Црна Гора [Crna Gora],
ME,SHORT_NAME,u,Црна Гора,
MK,NAME,u,Северна Македонија [Severna Makedonija],
MK,SHORT_NAME,u,Северна Македонија,
MT,NAME,u,Malta,
MT,SHORT_NAME,u,Malta,
NL,NAME,u,Nederland,
NL,SHORT_NAME,u,Nederland,
NO,NAME,u,Norge,
NO,SHORT_NAME,u,Norge,
PL,NAME,u,Polska,
PL,SHORT_NAME,u,Polska,
PT,NAME,u,Portugal,
PT,SHORT_NAME,u,Portugal,
RO,NAME,u,România,
RO,SHORT_NAME,u,România,
RS,NAME,u,Srbija/Сpбија [Serbia],
RS,SHORT_NAME,u,Srbija/Сpбија,
SE,NAME,u,Sverige,
SE,SHORT_NAME,u,Sverige,
SI,NAME,u,Slovenija,
SI,SHORT_NAME,u,Slovenija,
SK,NAME,u,Slovensko,
SK,SHORT_NAME,u,Slovensko,
TR,NAME,u,Türkiye,
TR,SHORT_NAME,u,Türkiye,
UK,NAME,u,United Kingdom,
UK,SHORT_NAME,u,United Kingdom,
ZA,NAME,u,Aforika Borwa/Afrika Borwa/Afrika-Dzonga/Afurika Tshipembe/iNingizimu Afrika/iSewula Afrika/South Africa/Suid-Afrika/uMzantsi Afrika,
ZA,SHORT_NAME,u,South Africa,
