id,concept,concept_type,concept_source,concept_id,is_cc,show_mrsa,show_vre,show_3gcr,show_carb_r,show_coli_r
0,Not listed,unknown,NeoIPC,1,f,t,t,t,t,t
1436,Abiotrophia,genus,LPSN,genus/abiotrophia,f,f,f,f,f,f
108,Abiotrophia defectiva,species,LPSN,species/abiotrophia-defectiva,f,f,f,f,f,f
3370,Acaulium acremonium,species,MycoBank,814571,f,f,f,f,f,f
57,Acholeplasma,genus,LPSN,genus/acholeplasma,f,f,f,f,f,f
829,Acholeplasma laidlawii,species,LPSN,species/acholeplasma-laidlawii,f,f,f,f,f,f
1347,Acholeplasma oculi,species,LPSN,species/acholeplasma-oculi,f,f,f,f,f,f
2476,Achromobacter,genus,LPSN,genus/achromobacter,f,f,f,f,f,f
2395,Achromobacter denitrificans,species,LPSN,species/achromobacter-denitrificans,f,f,f,f,f,f
752,Achromobacter piechaudii,species,LPSN,species/achromobacter-piechaudii,f,f,f,f,f,f
366,Achromobacter ruhlandii,species,LPSN,species/achromobacter-ruhlandii,f,f,f,f,f,f
1374,Achromobacter xylosoxidans,species,LPSN,species/achromobacter-xylosoxidans,f,f,f,f,f,f
2521,Acidaminococcus,genus,LPSN,genus/acidaminococcus,f,f,f,f,f,f
746,Acidaminococcus fermentans,species,LPSN,species/acidaminococcus-fermentans,f,f,f,f,f,f
3030,Acidipropionibacterium acidipropionici,species,LPSN,species/acidipropionibacterium-acidipropionici,t,f,f,f,f,f
3272,Acidipropionibacterium jensenii,species,LPSN,species/acidipropionibacterium-jensenii,t,f,f,f,f,f
2991,Acidipropionibacterium microaerophilum,species,LPSN,species/acidipropionibacterium-microaerophilum,t,f,f,f,f,f
3286,Acidipropionibacterium thoenii,species,LPSN,species/acidipropionibacterium-thoenii,t,f,f,f,f,f
312,Acidovorax,genus,LPSN,genus/acidovorax,f,f,f,f,f,f
807,Acidovorax delafieldii,species,LPSN,species/acidovorax-delafieldii,f,f,f,f,f,f
274,Acidovorax facilis,species,LPSN,species/acidovorax-facilis,f,f,f,f,f,f
1086,Acidovorax temperans,species,LPSN,species/acidovorax-temperans,f,f,f,f,f,f
2409,Acinetobacter,genus,LPSN,genus/acinetobacter,f,f,f,f,t,t
1660,Acinetobacter baumannii,species,LPSN,species/acinetobacter-baumannii,f,f,f,f,t,t
2808,Acinetobacter baylyi,species,LPSN,species/acinetobacter-baylyi,f,f,f,f,t,t
2809,Acinetobacter beijerinckii,species,LPSN,species/acinetobacter-beijerinckii,f,f,f,f,t,t
2810,Acinetobacter bereziniae,species,LPSN,species/acinetobacter-bereziniae,f,f,f,f,t,t
1141,Acinetobacter calcoaceticus,species,LPSN,species/acinetobacter-calcoaceticus,f,f,f,f,t,t
2704,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,species complex,NeoIPC,31,f,f,f,f,t,t
2811,Acinetobacter guillouiae,species,LPSN,species/acinetobacter-guillouiae,f,f,f,f,t,t
2812,Acinetobacter gyllenbergii,species,LPSN,species/acinetobacter-gyllenbergii,f,f,f,f,t,t
1727,Acinetobacter haemolyticus,species,LPSN,species/acinetobacter-haemolyticus,f,f,f,f,t,t
2494,Acinetobacter johnsonii,species,LPSN,species/acinetobacter-johnsonii,f,f,f,f,t,t
2318,Acinetobacter junii,species,LPSN,species/acinetobacter-junii,f,f,f,f,t,t
2705,Acinetobacter lwoffii,species,LPSN,species/acinetobacter-lwoffii,f,f,f,f,t,t
1448,Acinetobacter nosocomialis,species,LPSN,species/acinetobacter-nosocomialis,f,f,f,f,t,t
2813,Acinetobacter parvus,species,LPSN,species/acinetobacter-parvus,f,f,f,f,t,t
2114,Acinetobacter pittii,species,LPSN,species/acinetobacter-pittii,f,f,f,f,t,t
1698,Acinetobacter radioresistens,species,LPSN,species/acinetobacter-radioresistens,f,f,f,f,t,t
