id,property,needs_translation,default,translated
0,CONCEPT,t,Not listed,Nicht aufgeführt
1436,CONCEPT,f,Abiotrophia,
108,CONCEPT,f,Abiotrophia defectiva,
3370,CONCEPT,f,Acaulium acremonium,
57,CONCEPT,f,Acholeplasma,
829,CONCEPT,f,Acholeplasma laidlawii,
1347,CONCEPT,f,Acholeplasma oculi,
2476,CONCEPT,f,Achromobacter,
2395,CONCEPT,f,Achromobacter denitrificans,
752,CONCEPT,f,Achromobacter piechaudii,
366,CONCEPT,f,Achromobacter ruhlandii,
1374,CONCEPT,f,Achromobacter xylosoxidans,
2521,CONCEPT,f,Acidaminococcus,
746,CONCEPT,f,Acidaminococcus fermentans,
3030,CONCEPT,f,Acidipropionibacterium acidipropionici,
3272,CONCEPT,f,Acidipropionibacterium jensenii,
2991,CONCEPT,f,Acidipropionibacterium microaerophilum,
3286,CONCEPT,f,Acidipropionibacterium thoenii,
312,CONCEPT,f,Acidovorax,
807,CONCEPT,f,Acidovorax delafieldii,
274,CONCEPT,f,Acidovorax facilis,
1086,CONCEPT,f,Acidovorax temperans,
2409,CONCEPT,f,Acinetobacter,
1660,CONCEPT,f,Acinetobacter baumannii,
2808,CONCEPT,f,Acinetobacter baylyi,
2809,CONCEPT,f,Acinetobacter beijerinckii,
2810,CONCEPT,f,Acinetobacter bereziniae,
1141,CONCEPT,f,Acinetobacter calcoaceticus,
2704,CONCEPT,t,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,Acinetobacter calcoaceticus-Acinetobacter baumannii-Komplex
2811,CONCEPT,f,Acinetobacter guillouiae,
2812,CONCEPT,f,Acinetobacter gyllenbergii,
1727,CONCEPT,f,Acinetobacter haemolyticus,
2494,CONCEPT,f,Acinetobacter johnsonii,
2318,CONCEPT,f,Acinetobacter junii,
2705,CONCEPT,f,Acinetobacter lwoffii,
1448,CONCEPT,f,Acinetobacter nosocomialis,
2813,CONCEPT,f,Acinetobacter parvus,
2114,CONCEPT,f,Acinetobacter pittii,
1698,CONCEPT,f,Acinetobacter radioresistens,
1877,CONCEPT,f,Acinetobacter schindleri,
2814,CONCEPT,f,Acinetobacter seifertii,
2815,CONCEPT,f,Acinetobacter septicus,
2107,CONCEPT,f,Acinetobacter ursingii,
2816,CONCEPT,f,Acinetobacter variabilis,
105,CONCEPT,f,Acremonium,
2698,CONCEPT,f,Acremonium alabamense,
2301,CONCEPT,f,Acremonium potronii,
2583,CONCEPT,f,Actinobacillus,
386,CONCEPT,f,Actinobacillus equuli,
1263,CONCEPT,f,Actinobacillus hominis,
957,CONCEPT,f,Actinobacillus lignieresii,
2196,CONCEPT,f,Actinobacillus suis,
1592,CONCEPT,f,Actinobacillus ureae,
890,CONCEPT,f,Actinobaculum,
2930,CONCEPT,f,Actinobaculum massiliense,
1198,CONCEPT,f,Actinomadura,
2428,CONCEPT,f,Actinomadura latina,
1902,CONCEPT,f,Actinomadura madurae,
1513,CONCEPT,f,Actinomadura pelletieri,
2962,CONCEPT,f,Actinomortierella wolfii,
743,CONCEPT,f,Actinomyces,
1833,CONCEPT,f,Actinomyces bovis,
702,CONCEPT,f,Actinomyces dentalis,
1677,CONCEPT,f,Actinomyces gerencseriae,
2434,CONCEPT,f,Actinomyces graevenitzii,
1341,CONCEPT,f,Actinomyces israelii,
1152,CONCEPT,f,Actinomyces naeslundii,
639,CONCEPT,f,Actinomyces oricola,
2519,CONCEPT,f,Actinomyces oris,
538,CONCEPT,f,Actinomyces radicidentis,
67,CONCEPT,f,Actinomyces urogenitalis,
1104,CONCEPT,f,Actinomyces viscosus,
2442,CONCEPT,f,Actinotignum,
2313,CONCEPT,f,Actinotignum schaalii,
239,CONCEPT,f,Actinotignum urinale,
1628,CONCEPT,f,Aerococcus,
1668,CONCEPT,f,Aerococcus christensenii,
1333,CONCEPT,f,Aerococcus sanguinicola,
1672,CONCEPT,f,Aerococcus urinae,
813,CONCEPT,f,Aerococcus urinaeequi,
2019,CONCEPT,f,Aerococcus urinaehominis,
945,CONCEPT,f,Aerococcus viridans,
1731,CONCEPT,f,Aeromonas,
1765,CONCEPT,f,Aeromonas bestiarum,
461,CONCEPT,f,Aeromonas caviae,
2316,CONCEPT,f,Aeromonas encheleia,
2578,CONCEPT,f,Aeromonas enteropelogenes,
1801,CONCEPT,f,Aeromonas eucrenophila,
107,CONCEPT,f,Aeromonas hydrophila,
983,CONCEPT,f,Aeromonas jandaei,
32,CONCEPT,f,Aeromonas media,
2563,CONCEPT,f,Aeromonas molluscorum,
232,CONCEPT,f,Aeromonas popoffii,
2328,CONCEPT,f,Aeromonas salmonicida,
1985,CONCEPT,f,Aeromonas schubertii,
2293,CONCEPT,f,Aeromonas simiae,
763,CONCEPT,f,Aeromonas sobria,
2573,CONCEPT,f,Aeromonas veronii,
1269,CONCEPT,f,Afipia,
334,CONCEPT,f,Afipia clevelandensis,
35,CONCEPT,f,Afipia felis,
3182,CONCEPT,f,Agathobacter rectalis,
1896,CONCEPT,f,Aggregatibacter,
697,CONCEPT,f,Aggregatibacter actinomycetemcomitans,
2085,CONCEPT,f,Aggregatibacter aphrophilus,
89,CONCEPT,f,Aggregatibacter segnis,
830,CONCEPT,f,Agrobacterium,
1008,CONCEPT,f,Agrobacterium radiobacter,
