id,name,code,subjectTemplate,messageTemplate,notificationTrigger,notificationRecipient,notifyUsersInHierarchyOnly,notifyParentOrganisationUnitOnly,sendRepeatable,relativeScheduledDays,deliveryChannels,recipientUserGroup,recipientProgramAttribute,recipientDataElement,sharing
aueIHVGchGS,"NeoIPC SSI: Organism added for ""Organism 2""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{IhFtEkm3sE1}"" was added for ""Organism 2"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
boFOiRidXJR,"NeoIPC SSI: Organism added for ""Organism 3""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{lWflhXvq2ky}"" was added for ""Organism 3"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
DX5Ajjcp4Uk,"NeoIPC BSI: Organism added for ""Organism 2""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{S7Dulo4dt8O}"" was added for ""Organism 2"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
FQmjcc9W6iU,"NeoIPC HAP Secondary BSI: Organism added for ""Organism 3""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{n5wJQGsAUvB}"" was added for secondary BSI ""Organism 3"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
GePNTDTpZpK,"NeoIPC SSI Secondary BSI: Organism added for ""Organism 3""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{UDhuURrXmmX}"" was added for secondary BSI ""Organism 3"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
jzT0S4O0z0g,"NeoIPC HAP: Organism added for ""Organism 3""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{KGjHtWcPkP9}"" was added for ""Organism 3"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
LCdmHuYIirI,"NeoIPC BSI: Organism added for ""Organism 1""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{DaNS1ETTD3Z}"" was added for ""Organism 1"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
m1h25GElCvF,"NeoIPC HAP: Organism added for ""Organism 1""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{QSJW6kNk6pg}"" was added for ""Organism 1"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
MA1jRHX31AG,"NeoIPC HAP Secondary BSI: Organism added for ""Organism 2""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{D6z0jmhQnm5}"" was added for secondary BSI ""Organism 2"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
nwujz9Xb0En,"NeoIPC BSI: Organism added for ""Organism 3""",,DHIS2 NeoIPC: Organism added,"A new organism ""#{UptqkgrbXy6}"" was added for ""Organism 3"" in V{program_name} V{program_stage_name} on V{current_date} for patient id ""A{yQwpowV0o08}"". Please check this, assign it properly and give the user (organisation unit: ""V{org_unit_name}"") feedback.",PROGRAM_RULE,USER_GROUP,True,,True,,,gIj3UEDeQyK,,,
