id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
AHZfr5wVGIK,HIDEFIELD,,,,,ehrBTKxrBMo,U1r2eFwG4GP,,,,,,,
ALLSyDKLxIm,SHOWERROR,"For transferred or re-admitted patients an infection is only considered a nosocomial infection if the day of symptom onset is greater than or equal to day 3 of the patient’s  hospital stay, where the day of admission is regarded as day 1. Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.",,,,hGpXJ1WuHVJ,HpyUpoaGumw,,,,,,,
AU7KfzR1meq,ASSIGN,#{NeoIPC BSI IT ratio count},expressions/programRules/NeoIPC BSI IT ratio set count/AU7KfzR1meq.data.dhis2,,,QWVCLlCyWO4,,,,,,,,
AhmDEsFbA7B,ASSIGN,#{NeoIPC NEC Imaging Clinical findings criterion fulfilled},expressions/programRules/NeoIPC NEC Imaging Clinical findings criterion fulfilled - assign true/AhmDEsFbA7B.data.dhis2,,,fEFavPgMtEQ,,,,,,,,
Asfbt9in5MF,HIDEFIELD,,,,,uitFTLJmYup,wfe6ZTkZ3Co,,,,,,,
AtoLBnKzp6x,SHOWERROR,The day of life must be greater than 1 for admissions that happend on the day after birth or later.,,,,AxnwOtNl5bH,rvq4L9wWbwW,,,,,,,
BDncuOltyEP,ASSIGN,,expressions/programRules/NeoIPC SSI Set Length of Stay/BDncuOltyEP.data.dhis2,,,m2CoPEtzZpU,LCX6yQP1K3D,,,,,,,
BGS7WqIrkhg,HIDEFIELD,,,,,uitFTLJmYup,PodwECDyBas,,,,,,,
BThYpmhoaky,SHOWWARNING,Implausible birth weight.,,,,KqNiD014l94,,ZbL9VmLRB6D,,,,,,
BVLjKsKxgmA,DISPLAYKEYVALUEPAIR,Clinical/laboratory criteria fulfilled,expressions/programRules/NeoIPC HAP - display feedback/BVLjKsKxgmA.data.dhis2,feedback,,rb0tjhQtZF2,,,,,,,,
BXpXjk9mKRe,ERRORONCOMPLETE,"The definition for LCBSI caused by common commensals is not met. ",expressions/programRules/NeoIPC BSI LCBSI with common commensal detected only once and no antibiotic treatment validation rule/BXpXjk9mKRe.data.dhis2,,,auj12Ai26xP,,,,,,,,
