id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
r8lJ0GRj2Pg,NEOIPC_ADM_COMPLETED,NeoIPC Admission Completed,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
r6cMJP3lzEC,NEOIPC_ADM_DOL_CUR,NeoIPC Admission on day of life current value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,False,D8mSSpOpsKj,rvq4L9wWbwW,,,
jWA2yVaWU3m,NEOIPC_ADM_DOL_STAGE,NeoIPC Admission on day of life value,DATAELEMENT_NEWEST_EVENT_PROGRAM_STAGE,INTEGER_POSITIVE,False,D8mSSpOpsKj,rvq4L9wWbwW,,YGowWPumDia,
YWtvnHwLZkT,NEOIPC_ADM_TYPE_CUR,NeoIPC Admission type - current event value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,True,D8mSSpOpsKj,AgBqfnnsUzd,,,
FBiDJyulvzl,NEOIPC_ADM_TYPE_STAGE,NeoIPC Admission type - value,DATAELEMENT_NEWEST_EVENT_PROGRAM_STAGE,TEXT,True,D8mSSpOpsKj,AgBqfnnsUzd,,YGowWPumDia,
foTJ82cxq1g,NEOIPC_BIRTH_WEIGHT_TEA,NeoIPC Patient Birth weight value,TEI_ATTRIBUTE,INTEGER_POSITIVE,False,D8mSSpOpsKj,,ZbL9VmLRB6D,,
yWJjDIcHByx,NEOIPC_BSI_AB_TREATMENT_CUR,NeoIPC BSI - Antibiotic treatment,DATAELEMENT_CURRENT_EVENT,TRUE_ONLY,False,D8mSSpOpsKj,NjFq3pakY2I,,,
qZuDWJlM1c0,NEOIPC_BSI_ACIDOSIS_COUNT,NeoIPC BSI Acidosis count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
jyGMjK7eZg4,NEOIPC_BSI_ACIDOSIS_CUR,NeoIPC BSI Acidosis value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,ER7WiNywdyP,,,
kRZrol2LGgB,NEOIPC_BSI_AGENT_1_MULTIPLE_CUR,NeoIPC BSI Pathogen 1 recovered multiple times value,DATAELEMENT_CURRENT_EVENT,TRUE_ONLY,False,D8mSSpOpsKj,gvmTVfiIk2g,,,
glhLTkH2bRE,NEOIPC_BSI_AGENT_1_NAME_CUR,NeoIPC BSI Pathogen 1 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,DaNS1ETTD3Z,,,
vn0WjboJL8W,NEOIPC_BSI_AGENT_2_MULTIPLE_CUR,NeoIPC BSI Pathogen 2 recovered multiple times value,DATAELEMENT_CURRENT_EVENT,TRUE_ONLY,False,D8mSSpOpsKj,sOb9CDCoAif,,,
rlGxxxHPP8S,NEOIPC_BSI_AGENT_2_NAME_CUR,NeoIPC BSI Pathogen 2 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,S7Dulo4dt8O,,,
eBkCn1uPKVm,NEOIPC_BSI_AGENT_3_MULTIPLE_CUR,NeoIPC BSI Pathogen 3 recovered multiple times value,DATAELEMENT_CURRENT_EVENT,TRUE_ONLY,False,D8mSSpOpsKj,bKcuBeH9kER,,,
vccw9WlLBOO,NEOIPC_BSI_AGENT_3_NAME_CUR,NeoIPC BSI Pathogen 3 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,UptqkgrbXy6,,,
YD7XNXtmbJq,NEOIPC_BSI_APNOEA_COUNT,NeoIPC BSI Apnoea count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
auRv1peMTdP,NEOIPC_BSI_APNOEA_CUR,NeoIPC BSI Apnoea value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,iQpOYLxp4eD,,,
CMBCtjrTZ5G,NEOIPC_BSI_BRADYCARDIA_COUNT,NeoIPC BSI Bradycardia count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
UPXl5WxxCrS,NEOIPC_BSI_BRADYCARDIA_CUR,NeoIPC BSI Bradycardia value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,A639BT2Jccy,,,
gl4ZJ7BZXqq,NEOIPC_BSI_CC_ONCE_CLIN_FINDINGS_COUNT,NeoIPC BSI Common commensal once clinical findings count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
v0nORM8P6hp,NEOIPC_BSI_CC_ONCE_LAB_FINDINGS_COUNT,NeoIPC BSI Common commensal once laboratory findings count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
SeMB2Z09hZl,NEOIPC_BSI_COMMON_SEPSIS_CLIN_FINDINGS_COUNT,NeoIPC BSI Common sepsis clinical findings count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
