id,compulsory,allowFutureDate,allowProvidedElsewhere,renderOptionsAsRadio,skipAnalytics,skipSynchronization,displayInReports,sortOrder,dataElement,programStage,renderType_DESKTOP,renderType_MOBILE,sharing,__fk
iFL5Pb0bE7G,False,False,False,False,False,False,False,2,DTZ9HfILgnX,BHWwaviIFvy,,,,BHWwaviIFvy
lAQL8Q6vhjg,True,False,False,False,False,False,False,3,mWLdYcsxiR6,BHWwaviIFvy,,,,BHWwaviIFvy
KLcVsNgcbDo,True,False,False,False,False,False,False,4,OVCzlltgwNt,BHWwaviIFvy,,,,BHWwaviIFvy
Q2l6rINzmBT,True,False,False,False,False,False,False,5,VaJLazkIZ5E,BHWwaviIFvy,,,,BHWwaviIFvy
mg0rttoejn8,False,False,False,False,False,False,False,6,zPmHnqnPgpf,BHWwaviIFvy,,,,BHWwaviIFvy
jiMV1vb8Bdo,False,False,False,False,False,False,False,7,aFchS2IgTuh,BHWwaviIFvy,,,,BHWwaviIFvy
GW0FBRIAWeB,True,False,False,False,False,False,False,8,ki0ykiLotTO,BHWwaviIFvy,,,,BHWwaviIFvy
s8pWw7dL8bI,True,False,False,False,False,False,False,9,vVHhhpB31DW,BHWwaviIFvy,,,,BHWwaviIFvy
WAAjpEd5Ffb,True,False,False,False,False,False,False,10,BsacMxp5fja,BHWwaviIFvy,,,,BHWwaviIFvy
mx0CShPTilm,False,False,False,False,False,False,False,11,pojfTuJ4RlC,BHWwaviIFvy,,,,BHWwaviIFvy
iAw1rK7bLTh,True,False,False,False,False,False,False,12,Yu7iGKrtyeL,BHWwaviIFvy,,,,BHWwaviIFvy
wKU58Xb8tMT,True,False,False,False,False,False,False,13,rIXwdgfrfkf,BHWwaviIFvy,,,,BHWwaviIFvy
Y3EF4uWkLRZ,True,False,False,False,False,False,False,14,lgO6BRWuni9,BHWwaviIFvy,,,,BHWwaviIFvy
YzBqRw7V9hk,False,False,False,False,False,False,False,14,AmCKOzIAn8i,BHWwaviIFvy,,,,BHWwaviIFvy
QSHUnkrvP6d,False,False,False,False,False,False,False,15,ey4XJquYYBI,BHWwaviIFvy,,,,BHWwaviIFvy
JPWHzHEgVOA,False,False,False,False,False,False,False,14,wYnfg9LtR1b,Cp8UiWONR1B,,,,Cp8UiWONR1B
r4ysd2cr3uZ,False,False,False,False,False,False,False,15,u0tZWVB3f3y,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
VmltteHYoqQ,False,False,False,False,False,False,False,16,ijekJ6XPx9C,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
eMzice9hGpl,False,False,False,False,False,False,False,17,Aawy9BpDWc2,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
tVYYgVCLWTm,False,False,False,False,False,False,False,18,G7uFGI11Bdr,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
qSqz68Bpmj2,False,False,False,False,False,False,False,19,TXKgizEyv6g,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
PukTujBASpM,False,False,False,False,False,False,False,20,gGY64LFTCHE,Cp8UiWONR1B,,,,Cp8UiWONR1B
Y6lL0B2yhVz,False,False,False,False,False,False,False,21,begrGxBPmKh,Cp8UiWONR1B,,,,Cp8UiWONR1B
O7Om0A915oZ,False,False,False,False,False,False,False,22,N36tBx8ZMt6,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
UBXoywqDpnT,False,False,False,False,False,False,False,23,TsgwL95UcPF,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
vXWe78aGEiJ,False,False,False,False,False,False,False,24,UQX3D0E9ARY,Cp8UiWONR1B,HORIZONTAL_RADIOBUTTONS,HORIZONTAL_RADIOBUTTONS,,Cp8UiWONR1B
