organisationUnitGroup,organisationUnit
NEOIPC_ALL_PATIENTS_ELIGIBLE,AT_TEST_TEST
NEOIPC_NEODECO_TRIAL_SITES,AT_TEST_TEST
NEOIPC_ALL_PATIENTS_ELIGIBLE,AT_TEST_TEST2
NEO_DEPARTMENT,AT_TEST_TEST2
TEST_UNITS,AT_TEST_TEST2
NEOIPC_ALL_PATIENTS_ELIGIBLE,BE_TEST_TEST2
NEOIPC_NEODECO_TRIAL_SITES,BE_TEST_TEST2
NEO_DEPARTMENT,BE_TEST_TEST2
TEST_UNITS,BE_TEST_TEST2
NEOIPC_ALL_PATIENTS_ELIGIBLE,CH_TEST_TEST
NEOIPC_NEODECO_TRIAL_SITES,CH_TEST_TEST
NEOIPC_NEODECO_TRIAL_SITES,CZ_TEST_TEST2
NEO_DEPARTMENT,CZ_TEST_TEST2
TEST_UNITS,CZ_TEST_TEST2
NEOIPC_ALL_PATIENTS_ELIGIBLE,DE_TEST_TEST
NEOIPC_NEODECO_TRIAL_SITES,DE_TEST_TEST
NEO_DEPARTMENT,EE_TEST_TEST2
TEST_UNITS,EE_TEST_TEST2
