id,code,name,shortName,openingDate,closedDate,level,parent,image,sharing
tAavEjyr4oE,AL_TEST,Test Hospital - Albania,Test Hospital AL,2023-01-01,,3,O7YVa6X3etH,,
I9zy5M1qLjp,AL_TEST_TEST,Test Department - Albania,Test Department AL,2023-01-01,,4,tAavEjyr4oE,,
F3RCQhVDiG5,AT_TEST,Test Hospital - Austria,Test Hospital AT,2023-01-01,,3,dZ1NYgFJzo5,,
rM3hO6jIcQB,AT_TEST_TEST,Test Department - Austria,Test Department AT,2023-01-01,,4,F3RCQhVDiG5,,
Glgjk75lrap,BE_TEST,Test Hospital - Belgium,Test Hospital BE,2023-01-01,,3,ai1VMkp7MYJ,,
tsP8Q7ILsFJ,BE_TEST_TEST,Test Department - Belgium,Test Department BE,2023-01-01,,4,Glgjk75lrap,,
pVNUGbdk9ZV,BG_TEST,Test Hospital - Bulgaria,Test Hospital BG,2023-01-01,,3,MxiMUeowuPn,,
uMEz0RSUxJT,BG_TEST_TEST,Test Department - Bulgaria,Test Department BG,2023-01-01,,4,pVNUGbdk9ZV,,
yeE3vOHpXU4,CH_TEST,Test Hospital - Switzerland,Test Hospital CH,2023-01-01,,3,o8AWc4fNhI5,,
tI8AerT4ozK,CH_TEST_TEST,Test Department - Switzerland,Test Department CH,2023-01-01,,4,yeE3vOHpXU4,,
U56goLl2s4t,CY_TEST,Test Hospital - Cyprus,Test Hospital CY,2023-01-01,,3,HV0xP5KHGlD,,
OmuiHr64TZZ,CY_TEST_TEST,Test Department - Cyprus,Test Department CY,2023-01-01,,4,U56goLl2s4t,,
FCclJUi52W3,CZ_TEST,Test Hospital - Czechia,Test Hospital CZ,2023-01-01,,3,cnxeBo2rfI0,,
dJnB2YEhN87,CZ_TEST_TEST,Test Department - Czechia,Test Department CZ,2023-01-01,,4,FCclJUi52W3,,
mdLtlh6lOJG,DE_TEST,Test Hospital - Germany,Test Hospital DE,2023-01-01,,3,tKN7349UljV,,
bsG4RJrpu6n,DE_TEST_TEST,Test Department - Germany,Test Department DE,2023-01-01,,4,mdLtlh6lOJG,,
cbdYyFJI0qx,DK_TEST,Test Hospital - Denmark,Test Hospital DK,2023-01-01,,3,Z0NwCjwAd6s,,
u9ZwjrshkDO,DK_TEST_TEST,Test Department - Denmark,Test Department DK,2023-01-01,,4,cbdYyFJI0qx,,
