code,property,needs_translation,default,translated
AL_TEST,NAME,t,Testhospital - Shqipëria,Testkrankenhaus - Albanien
AL_TEST,SHORT_NAME,t,Testhosp. AL,Testkrh. AL
AL_TEST_TEST,NAME,t,Testdepartment - Shqipëria,Testabteilung - Albanien
AL_TEST_TEST,SHORT_NAME,t,Testdep. AL,Testabt. AL
AT1,NAME,f,Ostösterreich,
AT1,SHORT_NAME,f,Ostösterreich,
AT1_TEST,NAME,t,Testhospital - Ostösterreich,Testkrankenhaus - Ostösterreich
AT1_TEST,SHORT_NAME,t,Testhosp. AT1,Testkrh. AT1
AT1_TEST_TEST,NAME,t,Testdepartment - Ostösterreich,Testabteilung - Ostösterreich
AT1_TEST_TEST,SHORT_NAME,t,Testdep. AT1,Testabt. AT1
AT2,NAME,f,Südösterreich,
AT2,SHORT_NAME,f,Südösterreich,
AT2_TEST,NAME,t,Testhospital - Südösterreich,Testkrankenhaus - Südösterreich
AT2_TEST,SHORT_NAME,t,Testhosp. AT2,Testkrh. AT2
AT2_TEST_TEST,NAME,t,Testdepartment - Südösterreich,Testabteilung - Südösterreich
AT2_TEST_TEST,SHORT_NAME,t,Testdep. AT2,Testabt. AT2
AT3,NAME,f,Westösterreich,
AT3,SHORT_NAME,f,Westösterreich,
AT3_TEST,NAME,t,Testhospital - Westösterreich,Testkrankenhaus - Westösterreich
AT3_TEST,SHORT_NAME,t,Testhosp. AT3,Testkrh. AT3
AT3_TEST_TEST,NAME,t,Testdepartment - Westösterreich,Testabteilung - Westösterreich
AT3_TEST_TEST,SHORT_NAME,t,Testdep. AT3,Testabt. AT3
BE1,NAME,t,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt
BE1,SHORT_NAME,t,Bruxelles-Capitale/Brussels Hoofdstedelijk,Region Brüssel-Hauptstadt
BE1_TEST,NAME,t,Testhospital - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testkrankenhaus - Region Brüssel-Hauptstadt
BE1_TEST,SHORT_NAME,t,Testhosp. BE1,Testkrh. BE1
BE1_TEST_TEST,NAME,t,Testdepartment - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testabteilung - Region Brüssel-Hauptstadt
