code,property,needs_translation,default,translated
AL_TEST,NAME,t,Testhospital - Shqipëria,Testhospital - Albania
AL_TEST,SHORT_NAME,f,Testhosp. AL,
AL_TEST_TEST,NAME,t,Testdepartment - Shqipëria,Testdepartment - Albania
AL_TEST_TEST,SHORT_NAME,f,Testdep. AL,
AT1,NAME,t,Ostösterreich,East Austria
AT1,SHORT_NAME,t,Ostösterreich,East Austria
AT1_TEST,NAME,t,Testhospital - Ostösterreich,Testhospital - East Austria
AT1_TEST,SHORT_NAME,f,Testhosp. AT1,
AT1_TEST_TEST,NAME,t,Testdepartment - Ostösterreich,Testdepartment - East Austria
AT1_TEST_TEST,SHORT_NAME,f,Testdep. AT1,
AT2,NAME,t,Südösterreich,South Austria
AT2,SHORT_NAME,t,Südösterreich,South Austria
AT2_TEST,NAME,t,Testhospital - Südösterreich,Testhospital - South Austria
AT2_TEST,SHORT_NAME,f,Testhosp. AT2,
AT2_TEST_TEST,NAME,t,Testdepartment - Südösterreich,Testdepartment - South Austria
AT2_TEST_TEST,SHORT_NAME,f,Testdep. AT2,
AT3,NAME,t,Westösterreich,West Austria
AT3,SHORT_NAME,t,Westösterreich,West Austria
AT3_TEST,NAME,t,Testhospital - Westösterreich,Testhospital - West Austria
AT3_TEST,SHORT_NAME,f,Testhosp. AT3,
AT3_TEST_TEST,NAME,t,Testdepartment - Westösterreich,Testdepartment - West Austria
AT3_TEST_TEST,SHORT_NAME,f,Testdep. AT3,
BE1,NAME,t,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Brussels-Capital Region
BE1,SHORT_NAME,t,Bruxelles-Capitale/Brussels Hoofdstedelijk,Brussels-Capital Region
BE1_TEST,NAME,t,Testhospital - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testhospital - Brussels-Capital Region
BE1_TEST,SHORT_NAME,f,Testhosp. BE1,
BE1_TEST_TEST,NAME,t,Testdepartment - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testdepartment - Brussels-Capital Region
BE1_TEST_TEST,SHORT_NAME,f,Testdep. BE1,
BE2,NAME,t,Vlaams Gewest,Flemish Region
BE2,SHORT_NAME,t,Vlaams Gewest,Flemish Region
BE2_TEST,NAME,t,Testhospital - Vlaams Gewest,Testhospital - Flemish Region
BE2_TEST,SHORT_NAME,f,Testhosp. BE2,
BE2_TEST_TEST,NAME,t,Testdepartment - Vlaams Gewest,Testdepartment - Flemish Region
BE2_TEST_TEST,SHORT_NAME,f,Testdep. BE2,
BE3,NAME,t,Région wallonne,Walloon Region
BE3,SHORT_NAME,t,Région wallonne,Walloon Region
BE3_TEST,NAME,t,Testhospital - Région wallonne,Testhospital - Walloon Region
BE3_TEST,SHORT_NAME,f,Testhosp. BE3,
BE3_TEST_TEST,NAME,t,Testdepartment - Région wallonne,Testdepartment - Walloon Region
BE3_TEST_TEST,SHORT_NAME,f,Testdep. BE3,
