id,property,needs_translation,default,translated
AL_TEST,NAME,u,Testhospital - Shqipëria,
AL_TEST,SHORT_NAME,u,Testhosp. AL,
AL_TEST_TEST,NAME,u,Testdepartment - Shqipëria,
AL_TEST_TEST,SHORT_NAME,u,Testdep. AL,
AT1,NAME,u,Ostösterreich,
AT1,SHORT_NAME,u,Ostösterreich,
AT1_TEST,NAME,u,Testhospital - Ostösterreich,
AT1_TEST,SHORT_NAME,u,Testhosp. AT1,
AT1_TEST_TEST,NAME,u,Testdepartment - Ostösterreich,
AT1_TEST_TEST,SHORT_NAME,u,Testdep. AT1,
AT2,NAME,u,Südösterreich,
AT2,SHORT_NAME,u,Südösterreich,
AT2_TEST,NAME,u,Testhospital - Südösterreich,
AT2_TEST,SHORT_NAME,u,Testhosp. AT2,
AT2_TEST_TEST,NAME,u,Testdepartment - Südösterreich,
AT2_TEST_TEST,SHORT_NAME,u,Testdep. AT2,
AT3,NAME,u,Westösterreich,
AT3,SHORT_NAME,u,Westösterreich,
AT3_TEST,NAME,u,Testhospital - Westösterreich,
AT3_TEST,SHORT_NAME,u,Testhosp. AT3,
AT3_TEST_TEST,NAME,u,Testdepartment - Westösterreich,
AT3_TEST_TEST,SHORT_NAME,u,Testdep. AT3,
BE1,NAME,u,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,
BE1,SHORT_NAME,u,Bruxelles-Capitale/Brussels Hoofdstedelijk,
BE1_TEST,NAME,u,Testhospital - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,
BE1_TEST,SHORT_NAME,u,Testhosp. BE1,
BE1_TEST_TEST,NAME,u,Testdepartment - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,
BE1_TEST_TEST,SHORT_NAME,u,Testdep. BE1,
BE2,NAME,u,Vlaams Gewest,
BE2,SHORT_NAME,u,Vlaams Gewest,
BE2_TEST,NAME,u,Testhospital - Vlaams Gewest,
BE2_TEST,SHORT_NAME,u,Testhosp. BE2,
